Year,Course,CourseName,ShnatonId,Semester,TestDates
2026,67504,אלגוריתמים,17917,SemAB,"['2026-02-08T09:00:00', '2026-04-16T16:00:00', '2026-07-30T09:00:00', '2026-08-21T09:00:00', '2026-05-10T15:00:00', '2026-06-21T15:00:00']"
2026,67504,אלגוריתמים,17917,SemAB,"['2026-02-08T09:00:00', '2026-04-16T16:00:00', '2026-07-30T09:00:00', '2026-08-21T09:00:00', '2026-05-10T15:00:00', '2026-06-21T15:00:00']"
2026,67504,אלגוריתמים,17917,SemAB,"['2026-02-08T09:00:00', '2026-04-16T16:00:00', '2026-07-30T09:00:00', '2026-08-21T09:00:00', '2026-05-10T15:00:00', '2026-06-21T15:00:00']"
2026,67504,אלגוריתמים,17917,SemAB,"['2026-02-08T09:00:00', '2026-04-16T16:00:00', '2026-07-30T09:00:00', '2026-08-21T09:00:00', '2026-05-10T15:00:00', '2026-06-21T15:00:00']"
2026,67504,אלגוריתמים,17917,SemAB,"['2026-02-08T09:00:00', '2026-04-16T16:00:00', '2026-07-30T09:00:00', '2026-08-21T09:00:00', '2026-05-10T15:00:00', '2026-06-21T15:00:00']"
2026,67504,אלגוריתמים,17917,SemAB,"['2026-02-08T09:00:00', '2026-04-16T16:00:00', '2026-07-30T09:00:00', '2026-08-21T09:00:00', '2026-05-10T15:00:00', '2026-06-21T15:00:00']"
2026,67504,אלגוריתמים,17917,SemAB,"['2026-02-08T09:00:00', '2026-04-16T16:00:00', '2026-07-30T09:00:00', '2026-08-21T09:00:00', '2026-05-10T15:00:00', '2026-06-21T15:00:00']"
2026,67504,אלגוריתמים,17917,SemAB,"['2026-02-08T09:00:00', '2026-04-16T16:00:00', '2026-07-30T09:00:00', '2026-08-21T09:00:00', '2026-05-10T15:00:00', '2026-06-21T15:00:00']"
2026,67504,אלגוריתמים,17917,SemAB,"['2026-02-08T09:00:00', '2026-04-16T16:00:00', '2026-07-30T09:00:00', '2026-08-21T09:00:00', '2026-05-10T15:00:00', '2026-06-21T15:00:00']"
2026,67504,אלגוריתמים,17917,SemAB,"['2026-02-08T09:00:00', '2026-04-16T16:00:00', '2026-07-30T09:00:00', '2026-08-21T09:00:00', '2026-05-10T15:00:00', '2026-06-21T15:00:00']"
2026,67504,אלגוריתמים,17917,SemAB,"['2026-02-08T09:00:00', '2026-04-16T16:00:00', '2026-07-30T09:00:00', '2026-08-21T09:00:00', '2026-05-10T15:00:00', '2026-06-21T15:00:00']"
2026,67504,אלגוריתמים,17917,SemAB,"['2026-02-08T09:00:00', '2026-04-16T16:00:00', '2026-07-30T09:00:00', '2026-08-21T09:00:00', '2026-05-10T15:00:00', '2026-06-21T15:00:00']"
2026,67504,אלגוריתמים,17917,SemAB,"['2026-02-08T09:00:00', '2026-04-16T16:00:00', '2026-07-30T09:00:00', '2026-08-21T09:00:00', '2026-05-10T15:00:00', '2026-06-21T15:00:00']"
2026,67506,מסדי נתונים,8644,SemB,"['2026-07-06T09:00:00', '2026-08-03T09:00:00']"
2026,67508,מבוא לפרטיות נתונים,10702,SemA,"['2025-12-01T10:00:00', '2026-02-19T09:00:00', '2026-04-29T17:00:00']"
2026,67515,נושאים מתקדמים בפרטיות ואבטחת מידע,19440,SemB,[]
2026,67519,אמינות במערכות מבוזרות,18513,SemA,[]
2026,67521,"מודלים חישוביים, חישוביות וסיבוכיות ",10436,SemAB,"['2025-11-26T18:00:00', '2026-07-29T09:00:00', '2026-08-21T09:00:00', '2026-02-06T09:00:00', '2026-04-15T17:00:00']"
2026,67521,"מודלים חישוביים, חישוביות וסיבוכיות ",10436,SemAB,"['2025-11-26T18:00:00', '2026-07-29T09:00:00', '2026-08-21T09:00:00', '2026-02-06T09:00:00', '2026-04-15T17:00:00']"
2026,67521,"מודלים חישוביים, חישוביות וסיבוכיות ",10436,SemAB,"['2025-11-26T18:00:00', '2026-07-29T09:00:00', '2026-08-21T09:00:00', '2026-02-06T09:00:00', '2026-04-15T17:00:00']"
2026,67521,"מודלים חישוביים, חישוביות וסיבוכיות ",10436,SemAB,"['2025-11-26T18:00:00', '2026-07-29T09:00:00', '2026-08-21T09:00:00', '2026-02-06T09:00:00', '2026-04-15T17:00:00']"
2026,67521,"מודלים חישוביים, חישוביות וסיבוכיות ",10436,SemAB,"['2025-11-26T18:00:00', '2026-07-29T09:00:00', '2026-08-21T09:00:00', '2026-02-06T09:00:00', '2026-04-15T17:00:00']"
